tcp.flags,tcp.time_delta,tcp.len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.topic,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len,Line_origin,Line_prediction
"0x0018","0.006243051","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e373036363030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.018752120","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","33302e343939373230",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.029452253","20",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","313832",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.000147810","824",,,,,,,,,,,,,"0","0x69",,"110",,,"29797","6",,,"0","0",,,,,,,,UNKNOWN,dos
"0x0018","0.376099521","612",,,,,,,,,,,,,"0","0x6f",,"110",,,"29541","6",,,"3","1",,,,,,,,UNKNOWN,dos
"0x0018","0.013423330","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","31392e313234333133",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.007964072","20",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","313437",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.011424708","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","31382e343736363036",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.939155665","42",,,,,,,,,,,,,"0","0x30",,"40","iot/intensity-response","4d657373616765205265636569766564",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.000943583","29",,,,,"1","0","0","0","0","0","0","0x02",,"0x10","60","27",,,,"1","4","MQTT",,,,,"4",,,,,UNKNOWN,legitimate
