sample,wall_time_s,cpu_time_s,cpu_percent,ram_change_mb,pred_idx
0,8.86299999365292e-05,8.7725000000205e-05,98.97890112041938,0.125,3
1,3.374500010977499e-05,3.388299999995681e-05,100.40894914723037,0.0,3
2,2.7872999908140628e-05,2.792300000020731e-05,100.17938539888588,0.0,0
3,2.601000005597598e-05,2.6158999999914556e-05,100.57285637684703,0.0,2
4,3.278299982412136e-05,3.2931999999874506e-05,100.45450439725627,0.0,1
5,2.558899996074615e-05,2.562900000002699e-05,100.15631732127946,0.0,2
6,2.4507000034645898e-05,2.4616999999782507e-05,100.44885120570082,0.0,0
7,2.4327000119228614e-05,2.4396000000148632e-05,100.283634975878,0.0,1
8,2.391599991824478e-05,2.3974999999953894e-05,100.2466971145292,0.0,2
9,2.8455000119720353e-05,2.848300000035664e-05,100.09840056411346,0.0,1
10,2.448699979140656e-05,2.4575999999942866e-05,100.36345901619003,0.0,1
11,2.4707999727979768e-05,2.485700000010027e-05,100.6030446566331,0.0,0
12,2.8175000352348434e-05,2.8322999999996767e-05,100.5252871190683,0.0,3
13,2.4987999950099038e-05,2.5116999999852396e-05,100.51624799908345,0.0,2
14,2.4156000108632725e-05,2.423600000023285e-05,100.33118020881086,0.0,0
15,2.3896000129752792e-05,2.396500000001467e-05,100.28875071094414,0.0,0
16,2.360600001338753e-05,2.377499999983712e-05,100.71591962362851,0.0,2
17,2.3816000066290144e-05,2.3914999999874453e-05,100.4156866531271,0.0,3
18,2.3345000045082998e-05,2.3455000000005555e-05,100.47119278093865,0.0,1
19,2.3454999791283626e-05,2.3554000000203246e-05,100.42208573779826,0.0,1
20,2.332499980184366e-05,2.3383999999904148e-05,100.25294833252613,0.0,2
21,2.3194999812403694e-05,2.333400000020802e-05,100.59926789794582,0.0,0
22,2.338499962206697e-05,2.352500000002422e-05,100.59867598982186,0.0,3
23,2.3455000246030977e-05,2.3603999999899372e-05,100.6352579505669,0.0,1
24,2.332400026716641e-05,2.3453999999922814e-05,100.55736465129186,0.0,3
25,2.3224999949889025e-05,2.3323999999824707e-05,100.42626501678917,0.0,0
26,2.442699997118325e-05,2.45059999999242e-05,100.32341273522802,0.0,2
27,2.5800000003073364e-05,2.589900000016243e-05,100.38372091890415,0.0,0
28,2.391599991824478e-05,2.394500000013622e-05,100.12125807823455,0.0,2
29,2.3825999960536137e-05,2.3903999999852488e-05,100.32737362312409,0.0,3
30,2.3654999949940247e-05,2.3765000000341985e-05,100.46501818065747,0.0,1
31,2.850500004569767e-05,2.86539999998503e-05,100.52271515142523,0.0,1
32,2.3966000298969448e-05,2.4074999999790236e-05,100.45480972820265,0.0,1
33,2.3646000045118853e-05,2.375499999995867e-05,100.46096572203263,0.0,1
34,2.343500000279164e-05,2.354399999981993e-05,100.46511626633372,0.0,1
35,2.363600015087286e-05,2.3745000000019445e-05,100.46116029975806,0.0,1
36,2.377600003455882e-05,2.3875000000117552e-05,100.41638612640828,0.0,2
37,2.368500008742558e-05,2.3805000000098886e-05,100.50664940777018,0.0,0
38,2.3223999960464425e-05,2.3313999999885482e-05,100.38753031163567,0.0,3
39,2.3194000277726445e-05,2.3263000000106615e-05,100.29748952985238,0.0,3
40,2.3555000097985612e-05,2.367500000000078e-05,100.5094455593971,0.0,3
41,3.0137000067043118e-05,3.027700000002298e-05,100.4645450199702,0.125,2
42,2.3995999981707428e-05,2.4126000000013192e-05,100.54175703619296,0.0,0
43,2.3815000076865545e-05,2.3824999999977337e-05,100.04199001922956,0.0,3
44,2.369599997109617e-05,2.3834999999916562e-05,100.58659701633161,0.0,0
45,2.335499993932899e-05,2.3413999999721824e-05,100.25262282400386,0.0,3
46,2.3724999664409552e-05,2.381500000003811e-05,100.37934810074442,0.0,0
47,2.337500018256833e-05,2.3473999999801265e-05,100.42352862656558,0.0,3
48,2.3545999738416867e-05,2.3614000000282687e-05,100.28879751389309,0.0,1
49,2.3655999939364847e-05,2.371399999967494e-05,100.24518118218954,0.0,3
50,2.5680000362626743e-05,2.5767999999981583e-05,100.3426777107173,0.0,0
51,6.495399975392502e-05,6.492199999996728e-05,99.95073474446691,0.0,3
52,3.633999995145132e-05,3.646800000023376e-05,100.35222908352625,0.0,0
53,3.274300024713739e-05,3.277199999995872e-05,100.08856779342898,0.0,2
54,3.1179999950836645e-05,3.123899999968316e-05,100.18922401840777,0.0,1
55,3.0447999961324967e-05,3.0517999999979395e-05,100.22990028489012,0.0,1
56,3.028800028914702e-05,3.0387000000242637e-05,100.32686116663531,0.0,0
57,3.161099994031247e-05,3.168000000020044e-05,100.218278637241,0.0,1
58,3.1520999982603826e-05,3.1639999999999446e-05,100.37752614911106,0.0,3
59,3.064900010940619e-05,3.073799999997462e-05,100.29038432004546,0.0,1
60,3.0779000098846154e-05,3.087800000001195e-05,100.32164755465693,0.0,3
61,2.9767000341962557e-05,2.985600000027233e-05,100.2989876617978,0.0,1
62,2.9597000320791267e-05,2.97559999999919e-05,100.53721552007735,0.0,2
63,2.872499999284628e-05,2.8833999999644533e-05,100.3794604241093,0.0,1
64,2.810400019370718e-05,2.815300000014176e-05,100.17435171540296,0.0,0
65,2.3856000098021468e-05,2.3934999999752904e-05,100.33115317491128,0.0,1
66,2.400599987595342e-05,2.4106000000134742e-05,100.41656304548053,0.0,1
67,3.35740000991791e-05,3.3703999999801226e-05,100.38720408720468,0.0,1
68,2.6029999844467966e-05,2.606900000001744e-05,100.14982772102383,0.0,0
69,2.4717000087548513e-05,2.475699999981984e-05,100.16183158202713,0.0,1
70,2.8974999622732867e-05,2.9075000000045037e-05,100.34512641454434,0.0,1
71,2.4377000045205932e-05,2.4425999999966308e-05,100.20100896201136,0.0,0
72,2.8083999950467842e-05,2.8182999999959435e-05,100.35251406375944,0.0,1
73,2.5167999865516322e-05,2.5217000000132828e-05,100.1946922078764,0.0,0
74,2.383600030952948e-05,2.394500000013622e-05,100.45729018791445,0.0,1
75,2.3926000267238123e-05,2.3995000000276434e-05,100.28838808103163,0.0,1
76,2.346499968552962e-05,2.352399999994148e-05,100.25143965566829,0.0,0
77,2.4507000034645898e-05,2.4595999999821316e-05,100.36316140306687,0.0,2
78,2.4076000045170076e-05,2.4175000000070668e-05,100.41119768530842,0.0,0
79,2.3425000108545646e-05,2.3514000000002255e-05,100.37993550072233,0.0,1
80,2.3645000055694254e-05,2.367500000000078e-05,100.1268764822832,0.0,1
81,2.332499980184366e-05,2.333400000020802e-05,100.03858605976772,0.0,2
82,2.3425000108545646e-05,2.350400000006303e-05,100.3372460668146,0.0,1
83,2.3234999844135018e-05,2.3313999999885482e-05,100.3400049764597,0.0,3
84,2.3364999833574984e-05,2.3394000000287463e-05,100.12411798381787,0.0,0
85,2.3054000394040486e-05,2.31539999999697e-05,100.43376248902582,0.0,0
86,2.3164000140241114e-05,2.321400000004914e-05,100.2158515779024,0.0,3
87,2.3214000066218432e-05,2.32129999999664e-05,99.99569196928931,0.0,2
88,2.349499982301495e-05,2.3533999999880706e-05,100.16599351844877,0.0,0
89,2.3174000034487108e-05,2.3263000000106615e-05,100.38405094281116,0.0,1
90,3.8032999782444676e-05,3.8162000000063756e-05,100.33917970803508,0.0,1
91,2.507900035197963e-05,2.5166999999992612e-05,100.35088977542135,0.0,0
92,2.3995999981707428e-05,2.4084999999729462e-05,100.3708952245786,0.0,3
93,2.38049997278722e-05,2.3914999999874453e-05,100.46208894459032,0.0,0
94,2.391599991824478e-05,2.4035000000033335e-05,100.49757518897538,0.0,1
95,2.3255000087374356e-05,2.331400000032957e-05,100.25370850455188,0.0,1
96,2.3234999844135018e-05,2.3283999999623717e-05,100.21088941604219,0.0,3
97,2.3876000341260806e-05,2.396500000001467e-05,100.37275782158564,0.0,0
98,2.3645000055694254e-05,2.367500000000078e-05,100.1268764822832,0.0,3
99,2.3414999759552302e-05,2.3474000000245354e-05,100.25197626008509,0.0,2
100,2.324499973838101e-05,2.333400000020802e-05,100.38287916897697,0.0,1
101,2.3304000023927074e-05,2.3343999999703158e-05,100.17164424877708,0.0,3
102,2.29540000873385e-05,2.3054000000133357e-05,100.43565353495845,0.0,1
103,2.31849999181577e-05,2.325399999980604e-05,100.29760656412296,0.0,1
104,2.7393000436859438e-05,2.7531999999830248e-05,100.50742730169775,0.0,0
105,2.3444999897037633e-05,2.3514999999640906e-05,100.29857156285216,0.0,1
106,2.312400010850979e-05,2.319400000017069e-05,100.3027153231812,0.0,3
107,2.332500025659101e-05,2.346400000030613e-05,100.59592601151566,0.0,3
108,2.3414999759552302e-05,2.3514000000002255e-05,100.42280692490533,0.0,2
109,2.7212000077270204e-05,2.73609999998925e-05,100.5475522644392,0.0,0
110,2.4016999759624014e-05,2.4135999999952418e-05,100.49548337227559,0.0,0
111,2.73720002041955e-05,2.7511999999951797e-05,100.51147082680072,0.0,3
112,2.38860002355068e-05,2.3994999999832345e-05,100.45633326321213,0.0,0
113,3.218199981347425e-05,3.230099999962377e-05,100.36977250276315,0.0,3
114,2.417599989712471e-05,2.4266000000050525e-05,100.372270447174,0.0,0
115,2.3364999833574984e-05,2.346499999994478e-05,100.4279912993027,0.0,3
116,2.3394999971060315e-05,2.344399999998359e-05,100.20944658680865,0.0,1
117,2.3394999971060315e-05,2.350400000006303e-05,100.4659116441015,0.0,1
118,2.306500027771108e-05,2.3133000000008508e-05,100.29481778226182,0.0,2
119,2.298400022482383e-05,2.3072999999929067e-05,100.38722491400394,0.0,0
120,2.4296999981743284e-05,2.4365999999886867e-05,100.28398575213167,0.0,2
